sweep,value,seed,reward,avg_latency_s,energy_seu,deadline_miss_rate,cloud_offloads,cloud_over_deadline_rate,offload_msgs_per_step
latency_scale,3.0,8,9.837017487109547,0.026050146532074242,33023.77893498037,0.0,2927,0.13563375469764263,0.001388888888888889
latency_scale,3.0,9,14.034408207604402,0.022304832713754646,33020.230079683584,0.0,2845,0.1592267135325132,0.0011111111111111111
latency_scale,4.0,0,-3.0354826659339103,0.027287853577371048,33021.75834708618,0.0,2870,0.28710801393728225,0.0008333333333333334
latency_scale,4.0,1,7.235942775925263,0.016994335221592802,33017.8152312797,0.0,2863,0.2839678658749563,0.0011111111111111111
latency_scale,4.0,2,7.122152756340125,0.02190258254331481,33019.56637688891,0.0,2925,0.28991452991452993,0.0011111111111111111
latency_scale,4.0,3,7.176717198869827,0.021368948247078464,33020.460748962054,0.0,2878,0.2804030576789437,0.0011111111111111111
latency_scale,4.0,4,6.2144136804156895,0.02131979695431472,33019.603393929574,0.0,2824,0.2864730878186969,0.0011111111111111111
latency_scale,4.0,5,-7.600217270087527,0.01503006012024048,33017.18013642964,0.0,2870,0.2696864111498258,0.0008333333333333334
latency_scale,4.0,6,7.684496589395485,0.013554727211114876,33014.48165801021,0.0,2840,0.2774647887323944,0.0011111111111111111
latency_scale,4.0,7,7.177636772849856,0.025948751216347713,33021.98463125424,0.0,2945,0.2821731748726655,0.0011111111111111111
latency_scale,4.0,8,2.27020628299634,0.026050146532074242,33023.77893498037,0.0,2927,0.27400068329347455,0.001388888888888889
latency_scale,4.0,9,6.674070869713579,0.022304832713754646,33020.230079683584,0.0,2845,0.2942003514938489,0.0011111111111111111
