method,seed,episode,reward,avg_latency_s,energy_seu,deadline_miss_rate,completed_tasks,total_tasks,rejected_tasks,completion_ratio,decision_ms,offload_msgs_per_step,cloud_msgs_per_step
D-MAPPO-ABC,6,4,36.143592756556394,0.020913210177762286,33017.30634530106,0.0,2869,2869,1,1.0,0.061503792545408935,0.0011111111111111111,9.98611111111111
D-MAPPO-ABC,6,5,28.196392982941855,0.0250576986482031,33022.55219740248,0.0,3033,3035,3,0.9993410214168039,0.08764183973997003,0.0011111111111111111,9.980277777777777
D-MAPPO-ABC,6,6,33.42739219316188,0.014266755142667552,33013.11902516295,0.0,3014,3014,2,1.0,0.11392833907545234,0.0011111111111111111,9.98611111111111
D-MAPPO-ABC,6,7,33.26634314394038,0.01794177386594448,33014.457482351085,0.0,2954,2955,2,0.9996615905245347,0.04895751655082374,0.0011111111111111111,9.98611111111111
D-MAPPO-ABC,6,8,43.28201842894933,0.021907650825749917,33016.994938902986,0.0,2967,2967,0,1.0,0.07099028337365275,0.0011111111111111111,9.981666666666667
D-MAPPO-ABC,6,9,42.85129591471648,0.010967098703888335,33012.960156660854,0.0,3009,3008,0,1.0003324468085106,0.04671931310925478,0.0008333333333333334,9.988055555555556
D-MAPPO-ABC,7,0,37.92556336702712,0.01979544704717915,33019.531216262054,0.0,3031,3030,1,1.0003300330033003,0.05429587897055575,0.0011111111111111111,9.982222222222223
D-MAPPO-ABC,7,1,43.08608127466137,0.021494370522006142,33019.47574512252,0.0,2931,2930,0,1.0003412969283276,0.09557710939973024,0.0011111111111111111,9.984722222222222
D-MAPPO-ABC,7,2,38.39797383545215,0.02435897435897436,33022.83759616011,0.0,3120,3121,1,0.99967958987504,0.07133950490000038,0.0011111111111111111,9.982777777777779
D-MAPPO-ABC,7,3,44.37978518224168,0.014615134784020786,33016.136416430316,0.0,3079,3079,0,1.0,0.11467733284937115,0.001388888888888889,9.984444444444444
D-MAPPO-ABC,7,4,41.638250136061984,0.01961459050240881,33017.62954907885,0.0,2906,2905,0,1.000344234079174,0.08665727194683213,0.0011111111111111111,9.984166666666667
D-MAPPO-ABC,7,5,43.86338011789822,0.014848289218850872,33016.66857259385,0.0,3098,3099,0,0.9996773152629881,0.04723287181049172,0.0011111111111111111,9.984444444444444
D-MAPPO-ABC,7,6,35.3188555432266,0.028531663187195546,33021.56420264749,0.0,2874,2875,1,0.9996521739130435,0.07906623830947662,0.0011111111111111111,9.982222222222223
D-MAPPO-ABC,7,7,44.12575183786947,0.02532061821769155,33021.61269211742,0.0,3041,3041,0,1.0,0.10864009457711493,0.0011111111111111111,9.983333333333333
D-MAPPO-ABC,7,8,33.21551449482722,0.01418918918918919,33015.5051162314,0.0,2960,2960,2,1.0,0.04927361498347535,0.0011111111111111111,9.9875
D-MAPPO-ABC,7,9,28.839019617970038,0.019211983067404754,33017.1657394374,0.0,3071,3072,3,0.9996744791666666,0.08982650134971157,0.0008333333333333334,9.98638888888889
D-MAPPO-ABC,8,0,34.622270450064285,0.019003931847968544,33017.25225008992,0.0,3052,3052,2,1.0,0.11718393321239597,0.0011111111111111111,9.984166666666667
D-MAPPO-ABC,8,1,37.85241223161579,0.02122719734660033,33021.90669411809,0.0,3015,3016,1,0.9996684350132626,0.10500555878550383,0.001388888888888889,9.983888888888888
D-MAPPO-ABC,8,2,37.16529002840469,0.020033955857385398,33018.52765246371,0.0,2945,2946,1,0.9996605566870332,0.11781128377576047,0.0011111111111111111,9.98611111111111
D-MAPPO-ABC,8,3,43.084426535484276,0.02900461437046803,33026.074545256924,0.0,3034,3032,0,1.0006596306068603,0.1197054695189258,0.0011111111111111111,9.984722222222222
D-MAPPO-ABC,8,4,34.12152303911876,0.01745718050065876,33018.55458246814,0.0,3036,3037,2,0.9996707276918011,0.09685761505291643,0.0011111111111111111,9.98611111111111
D-MAPPO-ABC,8,5,33.62715172217883,0.018670160497870947,33017.952408517944,0.0,3053,3053,2,1.0,0.10938348641017608,0.0005555555555555556,9.982777777777779
D-MAPPO-ABC,8,6,37.55718167681304,0.017379679144385027,33017.55086084435,0.0,2992,2993,1,0.9996658870698296,0.1041210934248132,0.0011111111111111111,9.985555555555555
D-MAPPO-ABC,8,7,41.30799576062374,0.025078369905956112,33020.16783101914,0.0,2871,2871,0,1.0,0.12225432473900988,0.0011111111111111111,9.986944444444445
D-MAPPO-ABC,8,8,34.483227837329416,0.014416775884665793,33015.13234933643,0.0,3052,3053,2,0.9996724533245988,0.12220140393118427,0.0011111111111111111,9.985277777777778
D-MAPPO-ABC,8,9,44.05028300022133,0.02098360655737705,33019.28139577574,0.0,3050,3050,0,1.0,0.11179015871312002,0.0011111111111111111,9.983888888888888
D-MAPPO-ABC,9,0,37.221727044642975,0.019335142469470826,33020.028519747204,0.0,2948,2949,1,0.9996609020006781,0.11642525679619414,0.0011111111111111111,9.982777777777779
D-MAPPO-ABC,9,1,42.14355644321008,0.014996591683708248,33016.47612431292,0.0,2934,2934,0,1.0,0.1196379016441319,0.0011111111111111111,9.985833333333334
D-MAPPO-ABC,9,2,41.82919265665405,0.03142953700574518,33025.493447660985,0.0,2959,2960,0,0.9996621621621622,0.11855316273997435,0.001388888888888889,9.978055555555555
D-MAPPO-ABC,9,3,44.222417433050516,0.022646392753154318,33021.79398089429,0.0,3091,3090,0,1.0003236245954692,0.11211223160272413,0.0008333333333333334,9.980833333333333
D-MAPPO-ABC,9,4,38.65454157328456,0.02337063857801185,33020.588966892334,0.0,3038,3038,1,1.0,0.04975931465257115,0.0011111111111111111,9.981111111111112
D-MAPPO-ABC,9,5,38.26753471187892,0.016198347107438015,33015.444450227646,0.0,3025,3025,1,1.0,0.1138040621186115,0.0008333333333333334,9.986666666666666
D-MAPPO-ABC,9,6,38.17234382781955,0.024060646011865524,33022.47178199647,0.0,3034,3035,1,0.999670510708402,0.12219467840138046,0.0011111111111111111,9.983611111111111
D-MAPPO-ABC,9,7,37.35596847350519,0.020073603211776515,33018.892627730165,0.0,2989,2989,1,1.0,0.11899124847776774,0.0011111111111111111,9.983888888888888
D-MAPPO-ABC,9,8,37.45140798189448,0.024260551678298437,33022.10968810393,0.0,3009,3009,1,1.0,0.11869149815659814,0.0011111111111111111,9.983055555555556
D-MAPPO-ABC,9,9,42.98102617100254,0.017142857142857144,33018.24911691094,0.0,2975,2975,0,1.0,0.11877502369558596,0.0011111111111111111,9.983611111111111
Pure MAPPO,0,0,42.89696616455114,0.02270450751252087,33019.30479251161,0.0,2995,2994,0,1.0003340013360054,0.1190236093081896,0.0,9.99638888888889
Pure MAPPO,0,1,43.28934547416364,0.018949468085106384,33017.14418506419,0.0,3008,3008,0,1.0,0.11920844626244312,0.0,9.995555555555555
Pure MAPPO,0,2,43.887451722689896,0.020374081496325986,33019.61187496449,0.0,2994,2994,0,1.0,0.11989483661535714,0.0,9.995555555555555
Pure MAPPO,0,3,44.41024834033881,0.028173575129533678,33020.97172314027,0.0,3088,3087,0,1.0003239390994494,0.11958921255265725,0.0,9.99611111111111
Pure MAPPO,0,4,41.12786751852274,0.02086230876216968,33018.04881453455,0.0,2876,2875,0,1.0003478260869565,0.11745203499837469,0.0,9.995555555555555
Pure MAPPO,0,5,43.47055426272101,0.0212624584717608,33018.119163980125,0.0,3010,3009,0,1.0003323363243604,0.11787964792973879,0.0,9.995833333333334
Pure MAPPO,0,6,41.407066154571815,0.017229254571026722,33014.84460043201,0.0,2844,2844,0,1.0,0.11641765499371105,0.0,9.99638888888889
Pure MAPPO,0,7,42.069471765239875,0.015120274914089347,33016.63939415066,0.0,2910,2909,0,1.0003437607425232,0.11746798549655878,0.0,9.995555555555555
Pure MAPPO,0,8,43.49983295077248,0.02485089463220676,33021.798607574274,0.0,3018,3017,0,1.0003314550878355,0.11701716901896161,0.0,9.995277777777778
Pure MAPPO,0,9,43.35290595121425,0.020301244269810084,33017.33823438501,0.0,3054,3053,0,1.0003275466754011,0.11886912609204754,0.0,9.99638888888889
Pure MAPPO,1,0,43.385246839154135,0.03057199211045365,33025.01199234624,0.0,3042,3042,0,1.0,0.11549366916652717,0.0,9.995555555555555
