reward,avg_latency_s,energy_seu,deadline_miss_rate,completed_tasks,total_tasks,method,seed,episode
-12.736776847515744,0.0966869506423259,33089.191021215396,0.0,2958,2956,Wang et al. (hybrid actions),4,8
-18.78427676798848,0.09072648141948443,33082.09887379122,0.0,2987,2984,Wang et al. (hybrid actions),4,9
-19.490744948881446,0.09210960713106636,33087.598494943,0.0,3029,3029,Wang et al. (hybrid actions),5,0
-15.888571127874915,0.11326428332776478,33101.921402528074,0.0,2993,2992,Wang et al. (hybrid actions),5,1
-16.48368285292634,0.13299319727891157,33127.27201645446,0.0003401360544217687,2940,2937,Wang et al. (hybrid actions),5,2
-23.385803971718232,0.10577897938492734,33099.242437856105,0.0003379520108144643,2959,2957,Wang et al. (hybrid actions),5,3
-17.29808891713991,0.10127409343351845,33103.396243301926,0.0,3061,3061,Wang et al. (hybrid actions),5,4
-17.87653824733052,0.152037098376946,33141.27461185925,0.0,3019,3019,Wang et al. (hybrid actions),5,5
-13.700695289645966,0.0834735779198923,33077.54426401738,0.0,2971,2970,Wang et al. (hybrid actions),5,6
-9.689871472132824,0.10959360426382411,33106.8608842013,0.00033311125916055963,3002,3002,Wang et al. (hybrid actions),5,7
-19.704980107050208,0.15325797872340424,33146.842039433155,0.0,3008,3007,Wang et al. (hybrid actions),5,8
-16.08582141287504,0.13682432432432431,33130.204471693905,0.0,2960,2960,Wang et al. (hybrid actions),5,9
-12.175611738102756,0.11614824619457313,33111.56833405371,0.0,3022,3019,Wang et al. (hybrid actions),6,0
-15.384424486805003,0.10274669379450661,33105.098214517544,0.0,2949,2949,Wang et al. (hybrid actions),6,1
-20.82067309590075,0.08672624958622972,33084.410725089925,0.0,3021,3020,Wang et al. (hybrid actions),6,2
-19.464110141145817,0.13670284938941654,33123.76568223469,0.0,2948,2947,Wang et al. (hybrid actions),6,3
-15.387569997457089,0.13392250169952413,33125.407365980434,0.0,2942,2941,Wang et al. (hybrid actions),6,4
-14.66424837063251,0.1487957769712966,33144.82482891225,0.0,3031,3031,Wang et al. (hybrid actions),6,5
-18.468090277835465,0.1377734247469801,33130.39436803226,0.0,3063,3063,Wang et al. (hybrid actions),6,6
-12.073680493420204,0.10493827160493827,33094.320195931636,0.0,3078,3077,Wang et al. (hybrid actions),6,7
-14.497676805791144,0.11320754716981132,33112.97278804183,0.0,3021,3022,Wang et al. (hybrid actions),6,8
-12.2855518964682,0.09644835451287065,33086.192893939166,0.0,3069,3069,Wang et al. (hybrid actions),6,9
-12.417089250174218,0.10448264239973036,33097.22644348855,0.0,2967,2964,Wang et al. (hybrid actions),7,0
-14.48465347973569,0.09357309357309357,33088.382399834925,0.000333000333000333,3003,3002,Wang et al. (hybrid actions),7,1
-16.43590029858867,0.0807825812559167,33080.84958155181,0.0,3169,3168,Wang et al. (hybrid actions),7,2
-19.242741125588445,0.11352821210061183,33105.868145371714,0.0003399048266485384,2942,2940,Wang et al. (hybrid actions),7,3
-28.053243134006642,0.10113107119095142,33100.46128058243,0.0,3006,3005,Wang et al. (hybrid actions),7,4
-16.88092750593446,0.12137203166226913,33109.17077736524,0.0,3032,3032,Wang et al. (hybrid actions),7,5
-19.706690746412402,0.11125654450261781,33104.38708930146,0.0,3056,3056,Wang et al. (hybrid actions),7,6
-17.372768611739183,0.1137744767049291,33108.48759186876,0.0,2962,2961,Wang et al. (hybrid actions),7,7
-19.89657787886263,0.07557944239166947,33073.691994054025,0.0,2977,2975,Wang et al. (hybrid actions),7,8
-18.184061657036352,0.12042422169004448,33107.905030892514,0.0,2923,2922,Wang et al. (hybrid actions),7,9
-18.70353489801188,0.08851035404141616,33085.57319463658,0.0,2994,2993,Wang et al. (hybrid actions),8,0
-15.313821822557822,0.1020129648584101,33095.47688779143,0.0,2931,2931,Wang et al. (hybrid actions),8,1
-14.91191230257369,0.10870988867059594,33106.733622543674,0.0,3054,3053,Wang et al. (hybrid actions),8,2
-23.611380939869797,0.1265865063460254,33114.173493986054,0.0,2994,2993,Wang et al. (hybrid actions),8,3
-18.273239844545344,0.11456953642384106,33099.692139989435,0.0,3020,3019,Wang et al. (hybrid actions),8,4
-19.132136513215997,0.08705882352941176,33088.56596233645,0.0,2975,2974,Wang et al. (hybrid actions),8,5
-16.826314144130766,0.11917443408788282,33113.0384321921,0.0,3004,3002,Wang et al. (hybrid actions),8,6
-25.204914485985704,0.10863239573229874,33112.21717066967,0.0,3093,3092,Wang et al. (hybrid actions),8,7
-24.321098807529776,0.11747187293183323,33112.87234702639,0.0,3022,3022,Wang et al. (hybrid actions),8,8
-18.17191620276904,0.1005490734385724,33087.33679337061,0.0,2914,2913,Wang et al. (hybrid actions),8,9
-17.957188625941793,0.11479850998984084,33110.5041476661,0.0,2953,2953,Wang et al. (hybrid actions),9,0
-22.227523441921463,0.14524207011686144,33140.171923637216,0.0,2995,2994,Wang et al. (hybrid actions),9,1
-17.71378066825539,0.09553719008264462,33095.40712461259,0.0,3025,3026,Wang et al. (hybrid actions),9,2
-20.944219475705474,0.13509060955518945,33133.483799212336,0.0,3035,3035,Wang et al. (hybrid actions),9,3
-15.83578119542776,0.11385970857336496,33095.06137383434,0.0,2951,2951,Wang et al. (hybrid actions),9,4
-20.23649534885143,0.13335584064821066,33127.266698230684,0.0,2962,2961,Wang et al. (hybrid actions),9,5
-13.264235636966022,0.0987612989621694,33094.98433210576,0.0,2987,2987,Wang et al. (hybrid actions),9,6
-14.611912660071198,0.10555555555555556,33104.136285097804,0.0,3060,3059,Wang et al. (hybrid actions),9,7
-25.549152265097714,0.11452420701168614,33105.699620545856,0.0,2995,2996,Wang et al. (hybrid actions),9,8
-17.137070352788232,0.10312395028552233,33097.87157532179,0.0,2977,2976,Wang et al. (hybrid actions),9,9
